thumb,index,middle,ring,pinky,top_finger,bottom_finger
"0.710989,0.788916,-0.018884;0.684952,0.699649,-0.023473;0.691532,0.620255,-0.028008;0.701037,0.554433,-0.031211","0.729286,0.612656,0.004860;0.736533,0.529907,-0.008098;0.745083,0.475524,-0.022274;0.754773,0.429232,-0.033236","0.764672,0.607118,0.001104;0.767595,0.512985,-0.008774;0.769299,0.451825,-0.021820;0.770442,0.400793,-0.031589","0.799241,0.620011,-0.007576;0.809524,0.526576,-0.022014;0.813616,0.468068,-0.033713;0.815742,0.416915,-0.042077","0.835355,0.648711,-0.018700;0.859386,0.583572,-0.033357;0.872156,0.540389,-0.040369;0.880336,0.500586,-0.044978",middle3,index2
"0.723632,0.781659,-0.012285;0.702658,0.688111,-0.019443;0.699856,0.615036,-0.029082;0.732966,0.588449,-0.037755","0.731456,0.620606,0.013729;0.732740,0.537023,-0.000280;0.734262,0.485311,-0.012752;0.741493,0.438285,-0.023724","0.763804,0.619047,0.006104;0.759802,0.555078,-0.024124;0.753881,0.580912,-0.037330;0.752613,0.609571,-0.036174","0.798753,0.630394,-0.006039;0.801002,0.544474,-0.025010;0.803375,0.487209,-0.032548;0.805857,0.434032,-0.034269","0.834842,0.656905,-0.019844;0.850555,0.606402,-0.025365;0.859665,0.572941,-0.024086;0.866453,0.540695,-0.023147",thumb1,middle3
"0.710463,0.803069,-0.021190;0.680331,0.711564,-0.027261;0.685559,0.631001,-0.032582;0.686472,0.563230,-0.035610","0.729290,0.613390,0.002765;0.746281,0.530837,-0.009775;0.765495,0.476742,-0.022800;0.784506,0.434241,-0.031954","0.762146,0.609345,0.000890;0.767885,0.513146,-0.006359;0.777760,0.453625,-0.014684;0.786717,0.408446,-0.020339","0.796275,0.622723,-0.006468;0.797421,0.529894,-0.018173;0.798413,0.472155,-0.025625;0.799839,0.426269,-0.030369","0.834812,0.652274,-0.016967;0.853679,0.579289,-0.028780;0.864235,0.533452,-0.033809;0.871435,0.493421,-0.036667",ring4,index2
"0.728205,0.775049,-0.011837;0.717134,0.676473,-0.017078;0.735714,0.606319,-0.024927;0.779605,0.582473,-0.032463","0.760911,0.619143,0.014622;0.774045,0.532813,0.006255;0.783677,0.478762,-0.004428;0.796419,0.429935,-0.015582","0.794668,0.625373,0.006178;0.804751,0.550254,-0.020312;0.790489,0.551236,-0.037670;0.778725,0.572116,-0.041691","0.828428,0.640525,-0.005755;0.847135,0.558366,-0.020127;0.853395,0.501882,-0.028950;0.858934,0.459083,-0.033228","0.861521,0.669667,-0.019924;0.884423,0.616147,-0.024017;0.897744,0.578681,-0.024599;0.908629,0.547260,-0.025826",middle3,thumb1
"0.718423,0.779136,-0.009782;0.681881,0.692794,-0.011482;0.677001,0.617491,-0.016122;0.713877,0.604051,-0.018981","0.740425,0.633707,0.016527;0.736989,0.573341,-0.004188;0.724311,0.567082,-0.023374;0.713151,0.577998,-0.032898","0.772029,0.622364,0.011548;0.773622,0.535378,0.007168;0.773320,0.479735,0.000511;0.772963,0.437619,-0.003445","0.805324,0.633624,0.000654;0.808396,0.559118,-0.004611;0.808765,0.515325,-0.008805;0.806081,0.480642,-0.010855","0.840198,0.662018,-0.012835;0.858769,0.618552,-0.015045;0.869079,0.592739,-0.013749;0.876336,0.570639,-0.012446",index2,thumb1
"0.745145,0.779236,-0.020381;0.736902,0.688531,-0.024804;0.780892,0.635836,-0.028600;0.823654,0.621187,-0.032875","0.742025,0.609298,-0.004528;0.746556,0.520919,-0.012845;0.756491,0.463809,-0.022963;0.764311,0.417264,-0.033067","0.781815,0.609438,-0.007668;0.796419,0.527860,-0.014026;0.803996,0.479585,-0.026790;0.806650,0.443036,-0.038721","0.816494,0.627001,-0.014758;0.838749,0.553669,-0.030319;0.835397,0.507983,-0.050601;0.827111,0.475136,-0.066435","0.847253,0.656443,-0.023622;0.850264,0.606056,-0.044100;0.829926,0.612411,-0.054842;0.807256,0.630618,-0.063070",pinky5,thumb1
"0.722418,0.784052,-0.016072;0.697099,0.693858,-0.021024;0.704633,0.616698,-0.026578;0.727659,0.561388,-0.031061","0.747280,0.604573,0.004691;0.758241,0.518332,-0.008999;0.769453,0.464376,-0.023500;0.782125,0.419277,-0.034367","0.784684,0.603404,-0.000604;0.792493,0.508649,-0.011261;0.797236,0.446540,-0.024915;0.801609,0.395703,-0.034898","0.819847,0.619966,-0.010267;0.836678,0.530150,-0.023945;0.846681,0.473805,-0.034773;0.854014,0.426457,-0.042302","0.853952,0.653213,-0.022126;0.877746,0.589234,-0.034748;0.891365,0.548482,-0.039532;0.901067,0.512343,-0.042431",middle3,index2
"0.727437,0.773435,-0.008744;0.704410,0.674085,-0.008174;0.716979,0.599253,-0.009851;0.758333,0.582429,-0.010610","0.744408,0.635269,0.021061;0.746189,0.558283,0.019345;0.746625,0.511291,0.014481;0.749489,0.466821,0.006460","0.777803,0.635101,0.014020;0.780525,0.567018,-0.007308;0.764945,0.565006,-0.021415;0.751945,0.580536,-0.023775","0.809593,0.644818,0.003450;0.818621,0.571629,-0.010076;0.815925,0.514822,-0.022567;0.813604,0.468431,-0.029100","0.844869,0.668051,-0.008673;0.861275,0.622621,-0.014703;0.867915,0.587021,-0.020806;0.870381,0.555524,-0.026264",middle3,thumb1
"0.720117,0.794072,-0.024773;0.695335,0.701040,-0.034423;0.704682,0.624114,-0.042715;0.717576,0.559412,-0.048904","0.761262,0.601881,-0.006654;0.788197,0.522278,-0.022270;0.812027,0.473959,-0.037543;0.833855,0.433951,-0.048830","0.795965,0.604396,-0.008990;0.814459,0.509294,-0.020305;0.829485,0.451541,-0.031768;0.840943,0.405486,-0.040053","0.829809,0.626322,-0.016651;0.844640,0.534050,-0.033003;0.851968,0.472869,-0.044963;0.858104,0.421479,-0.053234","0.864393,0.666576,-0.027218;0.898983,0.601520,-0.043601;0.921990,0.560064,-0.051864;0.941742,0.521692,-0.057221",ring4,index2
"0.723874,0.770138,-0.011060;0.696591,0.688734,-0.018852;0.688731,0.618229,-0.030303;0.720458,0.577726,-0.039966","0.743879,0.631482,0.015120;0.736056,0.576079,-0.012997;0.724065,0.593911,-0.037796;0.716735,0.619564,-0.050424","0.776347,0.619288,0.007443;0.776653,0.529195,-0.006733;0.771286,0.473105,-0.021679;0.766797,0.423030,-0.031600","0.812473,0.628097,-0.006524;0.819166,0.539132,-0.023028;0.819150,0.485474,-0.034556;0.816158,0.437991,-0.040561","0.847871,0.654431,-0.022162;0.864090,0.588953,-0.031781;0.872654,0.547908,-0.033094;0.877048,0.510106,-0.033140",thumb1,index2
